role,required_skills,description
Backend Engineer,"Python;SQL;Docker;System Design;Microservices;Git;REST API;PostgreSQL","Разработка серверной логики, API и баз данных"
DevOps Engineer,"Docker;Kubernetes;AWS;Linux;CI/CD;Bash;Terraform;Git","Инфраструктура, автоматизация деплоя и мониторинг"
Data Scientist,"Python;Pandas;SQL;Machine Learning;Statistics;NumPy;Jupyter;Matplotlib","Анализ данных, построение ML-моделей и визуализация"
ML Engineer,"Python;PyTorch;MLOps;Docker;SQL;Math;Scikit-learn;Git","Разработка и деплой ML-моделей в продакшн"
Frontend Engineer,"JavaScript;React;HTML;CSS;TypeScript;Git;REST API;Figma","Разработка пользовательских интерфейсов"
Fullstack Developer,"Python;JavaScript;React;PostgreSQL;Docker;Git;REST API;HTML","Разработка frontend и backend приложений"
Cloud Architect,"AWS;Kubernetes;Terraform;Docker;Linux;CI/CD;Microservices;System Design","Проектирование облачной инфраструктуры"
Data Engineer,"Python;SQL;Spark;Kafka;Docker;Airflow;PostgreSQL;AWS","Построение и поддержка data pipelines"
Security Engineer,"Linux;Python;Docker;Kubernetes;AWS;Bash;Git;Terraform","Обеспечение безопасности инфраструктуры и приложений"
Mobile Developer,"Kotlin;Swift;React;TypeScript;Git;REST API;Figma;CI/CD","Разработка мобильных приложений (iOS/Android)"
QA Engineer,"Python;SQL;Git;Docker;Bash;Linux;CI/CD;REST API","Автоматизация тестирования и обеспечение качества"
Site Reliability Engineer,"Linux;Docker;Kubernetes;AWS;Terraform;Bash;CI/CD;Python","Надёжность и масштабируемость инфраструктуры"
AI/ML Researcher,"Python;PyTorch;Math;Statistics;Machine Learning;NumPy;Jupyter;Scikit-learn","Исследования в области AI и машинного обучения"
Solutions Architect,"AWS;System Design;Microservices;Docker;Kubernetes;SQL;REST API;Terraform","Проектирование архитектуры корпоративных решений"
Database Administrator,"PostgreSQL;SQL;Linux;Docker;Bash;Python;AWS;Git","Администрирование и оптимизация баз данных"
Blockchain Developer,"Python;Docker;Git;System Design;REST API;SQL;Linux;Bash","Разработка смарт-контрактов и dApp"
Game Developer,"Python;Git;Math;Docker;Linux;JavaScript;HTML;CSS","Разработка игровой логики и механик"
Technical Writer,"Git;Python;HTML;CSS;Markdown;REST API;Docker;Linux","Техническая документация и API reference"
Platform Engineer,"Docker;Kubernetes;Terraform;AWS;CI/CD;Linux;Python;Git","Внутренняя платформа разработки (IDP)"
Product Manager,"SQL;Python;Git;Figma;REST API;HTML;Jira;Statistics","Управление продуктом на основе данных"
Embedded Systems Engineer,"Python;Linux;Git;Bash;Docker;CI/CD;Math;SQL","Программирование встроенных систем и IoT"
